"Edad","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"0","255,164","251,804","247,519","241,509","237,333","233,558","233,607","238,245","245,536","251,990","253,389","252,046","247,916","244,191","245,510","249,809","244,709","232,425","227,660","229,927","234,728","237,485","237,819","237,015","235,715","234,060","232,106","229,904","227,508","224,968","222,323","221,346","219,179","216,997","214,851","212,799","210,890","209,159","207,625","206,303","205,204","204,330","203,660","203,145","202,730","202,361","202,001","201,627","201,225","200,786","200,299"
"1","260,260","254,691","251,368","247,120","241,301","237,166","233,476","233,574","238,277","245,555","252,012","253,575","252,319","247,839","244,195","245,571","250,033","245,531","234,238","229,513","231,718","235,380","237,549","237,757","236,930","235,625","233,972","232,022","229,824","227,433","224,897","222,257","221,282","219,119","216,940","214,798","212,749","210,844","209,115","207,584","206,264","205,168","204,296","203,627","203,116","202,703","202,335","201,976","201,604","201,203","200,765"
"2","264,118","260,088","254,533","251,220","247,144","241,354","237,291","233,644","233,806","238,495","245,772","252,382","254,023","252,451","248,055","244,475","246,041","251,203","247,533","236,693","231,894","232,698","235,636","237,648","237,822","236,988","235,680","234,029","232,080","229,884","227,494","224,960","222,320","221,346","219,185","217,008","214,867","212,819","210,915","209,187","207,657","206,338","205,242","204,371","203,703","203,192","202,779","202,412","202,054","201,682","201,282"
"3","269,085","264,002","259,979","254,430","251,283","247,233","241,512","237,491","233,907","234,055","238,743","246,171","252,855","254,201","252,715","248,384","245,008","247,318","253,209","250,208","239,289","232,977","233,000","235,768","237,744","237,908","237,072","235,766","234,113","232,164","229,969","227,581","225,048","222,410","221,436","219,276","217,099","214,958","212,912","211,008","209,281","207,752","206,434","205,338","204,468","203,800","203,290","202,877","202,511","202,153","201,780"
"4","274,609","269,027","263,954","259,940","254,509","251,385","247,400","241,720","237,760","234,161","234,309","239,145","246,642","253,040","254,470","253,046","248,914","246,264","249,255","255,835","252,753","240,355","233,282","233,138","235,870","237,837","238,000","237,161","235,856","234,204","232,257","230,062","227,674","225,141","222,504","221,531","219,372","217,195","215,057","213,010","211,107","209,380","207,852","206,533","205,439","204,569","203,901","203,391","202,979","202,612","202,255"
"5","279,939","274,573","268,999","263,937","260,024","254,616","251,554","247,607","241,984","238,010","234,412","234,701","239,604","246,828","253,306","254,794","253,561","250,129","248,127","251,789","258,291","253,783","240,651","233,418","233,241","235,962","237,925","238,089","237,251","235,947","234,295","232,348","230,155","227,767","225,236","222,599","221,627","219,467","217,292","215,154","213,107","211,204","209,479","207,951","206,632","205,538","204,668","204,002","203,491","203,080","202,713"
"6","285,051","279,916","274,559","268,998","264,023","260,130","254,783","251,756","247,865","242,229","238,255","234,793","235,150","239,786","247,086","253,620","255,290","254,731","251,937","250,572","254,158","259,286","254,068","240,783","233,518","233,333","236,051","238,014","238,178","237,339","236,035","234,384","232,438","230,245","227,858","225,326","222,690","221,719","219,560","217,385","215,247","213,201","211,299","209,574","208,046","206,728","205,633","204,765","204,099","203,588","203,177"
"7","289,404","285,040","279,914","274,571","269,085","264,131","260,295","254,983","252,009","248,103","242,468","238,627","235,229","235,324","240,033","247,385","254,091","256,399","256,476","254,259","252,825","255,103","259,557","254,192","240,878","233,605","233,417","236,135","238,098","238,262","237,424","236,120","234,470","232,525","230,332","227,946","225,415","222,779","221,808","219,649","217,476","215,338","213,293","211,390","209,666","208,137","206,821","205,727","204,858","204,192","203,682"
"8","297,472","289,401","285,046","279,934","274,657","269,190","264,291","260,489","255,227","252,241","248,335","242,828","239,048","235,396","235,559","240,318","247,831","255,141","258,083","258,693","256,408","253,727","255,362","259,674","254,279","240,959","233,686","233,495","236,214","238,177","238,342","237,503","236,201","234,551","232,606","230,415","228,028","225,498","222,863","221,893","219,734","217,560","215,423","213,379","211,477","209,752","208,225","206,908","205,814","204,946","204,280"
"9","305,234","297,472","289,413","285,073","280,016","274,758","269,344","264,476","260,724","255,450","252,462","248,679","243,232","239,203","235,615","235,827","240,740","248,825","256,748","260,159","260,705","257,251","253,967","255,470","259,755","254,351","241,031","233,758","233,568","236,288","238,251","238,416","237,577","236,275","234,626","232,681","230,491","228,104","225,575","222,941","221,971","219,813","217,639","215,502","213,457","211,557","209,833","208,305","206,988","205,896","205,026"
